cle,texte_fr,fr_singulier,emplacement,zone,utilisation,type,fragment_ou_phrase,variables,pluriel,elision,visible,aria,impression,export,ht,ht_singulier,en,en_singulier,es,es_singulier,action_requise
Les pourcentages sont {recalcules} — une moyenne des taux communaux donnerait le même poids à la plus petite commune qu'à la plus grande.,Les pourcentages sont {recalcules} — une moyenne des taux communaux donnerait le même poids à la plus petite commune qu'à la plus grande.,,agregat() L799,agregat,visible+impression,phrase,phrase,recalcules,,,oui,,oui,,Pousantaj yo {recalcules} — yon mwayèn to komin yo ta bay pi piti komin nan menm pwa ak pi gwo a.,Pousantaj yo {recalcules} — yon mwayèn to komin yo ta bay pi piti komin nan menm pwa ak pi gwo a.,Percentages are {recalcules} — averaging commune-level rates would give the smallest commune the same weight as the largest.,Percentages are {recalcules} — averaging commune-level rates would give the smallest commune the same weight as the largest.,Los porcentajes están {recalcules} — promediar las tasas comunales daría a la comuna más pequeña el mismo peso que a la más grande.,Los porcentajes están {recalcules} — promediar las tasas comunales daría a la comuna más pequeña el mismo peso que a la más grande.,relecture kreyòl
"Les sections communales, les localités et quartiers et les polygones existent dans le référentiel, mais l'édition publique s'arrête à la commune. Ils sont livrés avec le Pack Géo Haïti.","Les sections communales, les localités et quartiers et les polygones existent dans le référentiel, mais l'édition publique s'arrête à la commune. Ils sont livrés avec le Pack Géo Haïti.",,blocVerrou() L703,fiche,visible,phrase,phrase,,,,oui,,,,"Seksyon kominal yo, lokalite ak katye yo, ansanm ak polygòn yo egziste nan baz referans lan, men vèsyon piblik la kanpe nan nivo komin. Se ak Pack Géo Haïti a yo vini.","Seksyon kominal yo, lokalite ak katye yo, ansanm ak polygòn yo egziste nan baz referans lan, men vèsyon piblik la kanpe nan nivo komin. Se ak Pack Géo Haïti a yo vini.","Communal sections, localities and neighbourhoods, and polygons all exist in the referential, but the public edition stops at the commune. They ship with the Haiti Geo Pack.","Communal sections, localities and neighbourhoods, and polygons all exist in the referential, but the public edition stops at the commune. They ship with the Haiti Geo Pack.","Las secciones comunales, las localidades y barrios y los polígonos existen en el referencial, pero la edición pública se detiene en la comuna. Se entregan con el Pack Geo Haití.","Las secciones comunales, las localidades y barrios y los polígonos existen en el referencial, pero la edición pública se detiene en la comuna. Se entregan con el Pack Geo Haití.",relecture kreyòl
Les totaux ne portent que sur les communes où la donnée existe : additionner des absences reviendrait à les compter pour zéro.,Les totaux ne portent que sur les communes où la donnée existe : additionner des absences reviendrait à les compter pour zéro.,,agregat() L798,agregat,visible+impression,phrase,phrase,,,,oui,,oui,,"Total yo konte sèlman komin kote done a egziste : si nou te adisyone sa ki manke yo, se konte nou t ap konte yo pou zewo.","Total yo konte sèlman komin kote done a egziste : si nou te adisyone sa ki manke yo, se konte nou t ap konte yo pou zewo.",Totals cover only the communes where the data exists: adding up absences would amount to counting them as zero.,Totals cover only the communes where the data exists: adding up absences would amount to counting them as zero.,Los totales solo abarcan las comunas donde el dato existe: sumar ausencias equivaldría a contarlas como cero.,Los totales solo abarcan las comunas donde el dato existe: sumar ausencias equivaldría a contarlas como cero.,relecture kreyòl
"Les écoles, centres de santé et marchés nommés sont identifiés et rattachés à leur territoire ; leur couverture reste partielle, ils seront ouverts quand les registres nationaux seront complets.","Les écoles, centres de santé et marchés nommés sont identifiés et rattachés à leur territoire ; leur couverture reste partielle, ils seront ouverts quand les registres nationaux seront complets.",,blocVerrou() L705,fiche,visible,phrase,phrase,,,,oui,,,,"Lekòl, sant sante ak mache yo gen non yo, nou konnen nan ki teritwa yo ye ; men kouvèti a poko konplè, n ap louvri yo lè rejis nasyonal yo fin konplè.","Lekòl, sant sante ak mache yo gen non yo, nou konnen nan ki teritwa yo ye ; men kouvèti a poko konplè, n ap louvri yo lè rejis nasyonal yo fin konplè.","Named schools, health centres and markets are identified and attached to their territory; their coverage is still partial, and they will open up once the national registers are complete.","Named schools, health centres and markets are identified and attached to their territory; their coverage is still partial, and they will open up once the national registers are complete.","Las escuelas, centros de salud y mercados con nombre están identificados y vinculados a su territorio; su cobertura sigue siendo parcial y se abrirán cuando los registros nacionales estén completos.","Las escuelas, centros de salud y mercados con nombre están identificados y vinculados a su territorio; su cobertura sigue siendo parcial y se abrirán cuando los registros nacionales estén completos.",relecture kreyòl
Licence institutionnelle,Licence institutionnelle,,jour() L167,jour,visible,libelle,phrase,,,,oui,,,,Lisans pou enstitisyon,Lisans pou enstitisyon,Institutional licence,Institutional licence,Licencia institucional,Licencia institucional,relecture kreyòl
Lien copié ✓,Lien copié ✓,,pret() L1208,chrome,visible,phrase,phrase,,,,oui,,,,Lyen an kopye ✓,Lyen an kopye ✓,Link copied ✓,Link copied ✓,Enlace copiado ✓,Enlace copiado ✓,relecture kreyòl
Limite :,Limite :,,classement() L1035,classement,visible+impression,libelle,phrase,,,,oui,,oui,,Limit :,Limit :,Limitation:,Limitation:,Limitación:,Limitación:,relecture kreyòl
Limites.,Limites.,,blocIndicateurs() L555,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Limit.,Limit.,Limitations.,Limitations.,Limitaciones.,Limitaciones.,relecture kreyòl
Localité,Localité,,jour() L143,niveaux,visible,vocabulaire,phrase,,,,oui,,,,Lokalite,Lokalite,Locality,Locality,Localidad,Localidad,relecture kreyòl
Millésime {an},Millésime {an},,blocIndicateurs() L540,fiche,visible+impression,libelle,phrase,an,,,oui,,oui,,Ane referans {an},Ane referans {an},Reference year {an},Reference year {an},Año de referencia {an},Año de referencia {an},relecture kreyòl
Millésime {an}.,Millésime {an}.,,classement() L1032,classement,visible+impression,libelle,phrase,an,,,oui,,oui,,Ane referans {an}.,Ane referans {an}.,Reference year {an}.,Reference year {an}.,Año de referencia {an}.,Año de referencia {an}.,relecture kreyòl
Méthode,Méthode,,blocTechnique() L638,fiche,visible,libelle,phrase,,,,oui,,,,Metòd,Metòd,Method,Method,Método,Método,relecture kreyòl
Méthode.,Méthode.,,blocIndicateurs() L547,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Metòd.,Metòd.,Method.,Method.,Método.,Método.,relecture kreyòl
Niveau de qualité,Niveau de qualité,,blocTechnique() L632,fiche,visible,phrase,phrase,,,,oui,,,,Nivo kalite,Nivo kalite,Quality level,Quality level,Nivel de calidad,Nivel de calidad,relecture kreyòl
Niveaux territoriaux mélangés.,Niveaux territoriaux mélangés.,,rendreComparaison() L936,comparaison,visible+aria+impression,phrase,phrase,,,,oui,oui,oui,,Nivo teritoryal melanje.,Nivo teritoryal melanje.,Mixed territorial levels.,Mixed territorial levels.,Niveles territoriales mezclados.,Niveles territoriales mezclados.,relecture kreyòl
Nom,Nom,,blocOrganisations() L661,admin,visible,libelle,phrase,,,,oui,,,,Non,Non,Name,Name,Nombre,Nombre,relecture kreyòl
Organisations recensées,Organisations recensées,,blocOrganisations() L650,admin,visible,libelle,phrase,,,,oui,,,,Òganizasyon ki resanse,Òganizasyon ki resanse,Recorded organisations,Recorded organisations,Organizaciones registradas,Organizaciones registradas,relecture kreyòl
Organisations recensées — {n},Organisations recensées — {n},,blocOrganisations() L656,admin,visible,phrase,phrase,n,,,oui,,,,Òganizasyon ki resanse — {n},Òganizasyon ki resanse — {n},Recorded organisations — {n},Recorded organisations — {n},Organizaciones registradas — {n},Organizaciones registradas — {n},relecture kreyòl
Packs décisionnels,Packs décisionnels,,jour() L180,jour,visible,libelle,phrase,,,,oui,,,,Pakè pou pran desizyon,Pakè pou pran desizyon,Decision packs,Decision packs,Paquetes de decisión,Paquetes de decisión,relecture kreyòl
Part du total national,Part du total national,,jour() L210,lectures,visible,vocabulaire,phrase,,,,oui,,,,Pòsyon nan total peyi a,Pòsyon nan total peyi a,Share of the national total,Share of the national total,Proporción del total nacional,Proporción del total nacional,relecture kreyòl
Planifier les services publics,Planifier les services publics,,jour() L159,jour,visible,phrase,phrase,,,,oui,,,,Planifye sèvis piblik yo,Planifye sèvis piblik yo,Plan public services,Plan public services,Planificar los servicios públicos,Planificar los servicios públicos,relecture kreyòl
Pour 10 000 habitants — indisponible,Pour 10 000 habitants — indisponible,,jour() L210,lectures,visible,vocabulaire,phrase,,,,oui,,,,Pou chak 10 000 moun — nou poko genyen l,Pou chak 10 000 moun — nou poko genyen l,"Per 10,000 inhabitants — unavailable","Per 10,000 inhabitants — unavailable",Por 10 000 habitantes — no disponible,Por 10 000 habitantes — no disponible,relecture kreyòl
Pour 100 km²,Pour 100 km²,,jour() L210,lectures,visible,vocabulaire,phrase,,,,oui,,,,Pou chak 100 km²,Pou chak 100 km²,Per 100 km²,Per 100 km²,Por 100 km²,Por 100 km²,relecture kreyòl
Pourquoi ce nombre varie-t-il ?,Pourquoi ce nombre varie-t-il ?,,pret() L1152,chrome,visible,phrase,phrase,,,,oui,,,,Poukisa chif sa a chanje ?,Poukisa chif sa a chanje ?,Why does this number vary?,Why does this number vary?,¿Por qué varía esta cifra?,¿Por qué varía esta cifra?,relecture kreyòl
Pourquoi il manque,Pourquoi il manque,,blocLacunes() L575,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Poukisa l manke,Poukisa l manke,Why it is missing,Why it is missing,Por qué falta,Por qué falta,relecture kreyòl
Profil administratif de {n}. {phrase} Les données disponibles couvrent {themes}. {absents} indicateur reste à documenter sur cette commune.,Profil administratif de {n}. {phrase} Les données disponibles couvrent {themes}. {absents} indicateur reste à documenter sur cette commune.,,jour() L164,jour,visible,phrase,phrase,n phrase themes absents,,,oui,,,,Pwofil administratif {n}. {phrase} Done nou genyen yo kouvri {themes}. Gen {absents} endikatè ki poko dokimante nan komin sa a.,Pwofil administratif {n}. {phrase} Done nou genyen yo kouvri {themes}. Gen {absents} endikatè ki poko dokimante nan komin sa a.,Administrative profile of {n}. {phrase} The available data covers {themes}. {absents} indicator is still undocumented for this commune.,Administrative profile of {n}. {phrase} The available data covers {themes}. {absents} indicator is still undocumented for this commune.,Perfil administrativo de {n}. {phrase} Los datos disponibles cubren {themes}. Queda {absents} indicador por documentar en esta comuna.,Perfil administrativo de {n}. {phrase} Los datos disponibles cubren {themes}. Queda {absents} indicador por documentar en esta comuna.,relecture kreyòl
Profil administratif de {n}. {phrase} Les données disponibles couvrent {themes}. {absents} indicateurs restent à documenter sur cette commune.,Profil administratif de {n}. {phrase} Les données disponibles couvrent {themes}. {absents} indicateurs restent à documenter sur cette commune.,,jour() L163,jour,visible,phrase,phrase,n phrase themes absents,,,oui,,,,Pwofil administratif {n}. {phrase} Done nou genyen yo kouvri {themes}. Gen {absents} endikatè ki poko dokimante nan komin sa a.,Pwofil administratif {n}. {phrase} Done nou genyen yo kouvri {themes}. Gen {absents} endikatè ki poko dokimante nan komin sa a.,Administrative profile of {n}. {phrase} The available data covers {themes}. {absents} indicators are still undocumented for this commune.,Administrative profile of {n}. {phrase} The available data covers {themes}. {absents} indicators are still undocumented for this commune.,Perfil administrativo de {n}. {phrase} Los datos disponibles cubren {themes}. Quedan {absents} indicadores por documentar en esta comuna.,Perfil administrativo de {n}. {phrase} Los datos disponibles cubren {themes}. Quedan {absents} indicadores por documentar en esta comuna.,relecture kreyòl
Préparer un projet ou une intervention,Préparer un projet ou une intervention,,jour() L172,jour,visible,phrase,phrase,,,,oui,,,,Prepare yon pwojè oswa yon entèvansyon,Prepare yon pwojè oswa yon entèvansyon,Prepare a project or intervention,Prepare a project or intervention,Preparar un proyecto o una intervención,Preparar un proyecto o una intervención,relecture kreyòl
Registre des sources,Registre des sources,,jour() L191,jour,visible,phrase,phrase,,,,oui,,,,Rejis sous yo,Rejis sous yo,Source register,Source register,Registro de fuentes,Registro de fuentes,relecture kreyòl
Retirer {nom} de la comparaison,Retirer {nom} de la comparaison,,rendreComparaison() L914,comparaison,visible+aria+impression,phrase,phrase,nom,,,oui,oui,oui,,Retire {nom} nan konparezon an,Retire {nom} nan konparezon an,Remove {nom} from the comparison,Remove {nom} from the comparison,Quitar {nom} de la comparación,Quitar {nom} de la comparación,relecture kreyòl
Règle d'agrégation.,Règle d'agrégation.,,agregat() L786,agregat,visible+impression,libelle,phrase,,,,oui,,oui,,Règ pou rasanble.,Règ pou rasanble.,Aggregation rule.,Aggregation rule.,Regla de agregación.,Regla de agregación.,relecture kreyòl
Réaliser une recherche,Réaliser une recherche,,jour() L183,jour,visible,phrase,phrase,,,,oui,,,,Fè yon rechèch,Fè yon rechèch,Carry out research,Carry out research,Realizar una investigación,Realizar una investigación,relecture kreyòl
Référentiel géographique complet,Référentiel géographique complet,,jour() L179,jour,visible,phrase,phrase,,,,oui,,,,Baz referans jeyografik konplè a,Baz referans jeyografik konplè a,Full geographic referential,Full geographic referential,Referencial geográfico completo,Referencial geográfico completo,relecture kreyòl
Section communale,Section communale,,jour() L143,niveaux,visible,vocabulaire,phrase,,,,oui,,,,Seksyon kominal,Seksyon kominal,Communal section,Communal section,Sección comunal,Sección comunal,relecture kreyòl
Signalez-la,Signalez-la,,blocLacunes() L599,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Fè nou konnen,Fè nou konnen,Tell us about it,Tell us about it,Indíquenosla,Indíquenosla,relecture kreyòl
Source,Source,,blocTechnique() L633,fiche,visible,libelle,phrase,,,,oui,,,,Sous,Sous,Source,Source,Fuente,Fuente,relecture kreyòl
Source.,Source.,,blocIndicateurs() L550,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Sous.,Sous.,Source.,Source.,Fuente.,Fuente.,relecture kreyòl
Statut,Statut,,blocOrganisations() L661,admin,visible,libelle,phrase,,,,oui,,,,Estati,Estati,Status,Status,Estado,Estado,relecture kreyòl
Statut de la valeur,Statut de la valeur,,blocTechnique() L631,fiche,visible,phrase,phrase,,,,oui,,,,Estati valè a,Estati valè a,Value status,Value status,Estado del valor,Estado del valor,relecture kreyòl
Statut.,Statut.,,blocIndicateurs() L548,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Estati.,Estati.,Status.,Status.,Estado.,Estado.,relecture kreyòl
Type,Type,,blocOrganisations() L661,admin,visible,libelle,phrase,,,,oui,,,,Kalite,Kalite,Type,Type,Tipo,Tipo,relecture kreyòl
Télécharger les données libres,Télécharger les données libres,,jour() L200,jour,visible,phrase,phrase,,,,oui,,,,Telechaje done gratis yo,Telechaje done gratis yo,Download the open data,Download the open data,Descargar los datos abiertos,Descargar los datos abiertos,relecture kreyòl
Télécharger les {n} indicateurs de {nom} (CSV),Télécharger les {n} indicateurs de {nom} (CSV),Télécharger l'indicateur de {nom} (CSV),blocResume() L388,fiche,visible+impression,phrase,phrase,n nom,oui,,oui,,oui,,Telechaje {n} endikatè {nom} yo (CSV),Telechaje endikatè {nom} an (CSV),Download the {n} indicators for {nom} (CSV),Download the indicator for {nom} (CSV),Descargar los {n} indicadores de {nom} (CSV),Descargar el indicador de {nom} (CSV),relecture kreyòl
Une case vide n'est pas un zéro. Chaque ligne indique pourquoi la donnée manque et ce qui la débloquerait.,Une case vide n'est pas un zéro. Chaque ligne indique pourquoi la donnée manque et ce qui la débloquerait.,,blocLacunes() L571,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Yon kaz vid pa vle di zewo. Chak liy esplike poukisa done a manke ak sa ki ta debloke l.,Yon kaz vid pa vle di zewo. Chak liy esplike poukisa done a manke ak sa ki ta debloke l.,An empty cell is not a zero. Each row states why the data is missing and what would unlock it.,An empty cell is not a zero. Each row states why the data is missing and what would unlock it.,Una casilla vacía no es un cero. Cada fila indica por qué falta el dato y qué lo desbloquearía.,Una casilla vacía no es un cero. Cada fila indica por qué falta el dato y qué lo desbloquearía.,relecture kreyòl
Valeur agrégée par Atmart,Valeur agrégée par Atmart,,jour() L149,statuts,visible,vocabulaire,phrase,,,,oui,,,,Valè Atmart rasanble,Valè Atmart rasanble,Value aggregated by Atmart,Value aggregated by Atmart,Valor agregado por Atmart,Valor agregado por Atmart,relecture kreyòl
Valeur brute,Valeur brute,,jour() L210,lectures,visible,vocabulaire,phrase,,,,oui,,,,Valè brit,Valè brit,Raw value,Raw value,Valor bruto,Valor bruto,relecture kreyòl
Valeur estimée,Valeur estimée,,jour() L149,statuts,visible,vocabulaire,phrase,,,,oui,,,,Valè yo estime,Valè yo estime,Estimated value,Estimated value,Valor estimado,Valor estimado,relecture kreyòl
Valeur harmonisée,Valeur harmonisée,,jour() L149,statuts,visible,vocabulaire,phrase,,,,oui,,,,Valè yo mete daplon,Valè yo mete daplon,Harmonised value,Harmonised value,Valor armonizado,Valor armonizado,relecture kreyòl
Valeur interpolée,Valeur interpolée,,jour() L149,statuts,visible,vocabulaire,phrase,,,,oui,,,,Valè yo estime ant de dat,Valè yo estime ant de dat,Interpolated value,Interpolated value,Valor interpolado,Valor interpolado,relecture kreyòl
Valeur modélisée,Valeur modélisée,,jour() L149,statuts,visible,vocabulaire,phrase,,,,oui,,,,Valè yon modèl bay,Valè yon modèl bay,Modelled value,Modelled value,Valor modelizado,Valor modelizado,relecture kreyòl
Valeur observée,Valeur observée,,jour() L149,statuts,visible,vocabulaire,phrase,,,,oui,,,,Valè yo obsève,Valè yo obsève,Observed value,Observed value,Valor observado,Valor observado,relecture kreyòl
Version du référentiel,Version du référentiel,,blocTechnique() L629,fiche,visible,phrase,phrase,,,,oui,,,,Vèsyon baz referans lan,Vèsyon baz referans lan,Referential version,Referential version,Versión del referencial,Versión del referencial,relecture kreyòl
Voir ce qui reste à documenter,Voir ce qui reste à documenter,,jour() L168,jour,visible,phrase,phrase,,,,oui,,,,Wè sa ki poko dokimante,Wè sa ki poko dokimante,See what remains undocumented,See what remains undocumented,Ver lo que falta documentar,Ver lo que falta documentar,relecture kreyòl
Voir le Pack Géo,Voir le Pack Géo,,blocVerrou() L707,fiche,visible,phrase,phrase,,,,oui,,,,Wè Pack Géo a,Wè Pack Géo a,See the Geo Pack,See the Geo Pack,Ver el Pack Geo,Ver el Pack Geo,relecture kreyòl
Vouliez-vous dire :,Vouliez-vous dire :,,afficherResultats() L285,recherche,visible+aria,phrase,phrase,,,,oui,oui,,,Èske se sa w t ap chèche :,Èske se sa w t ap chèche :,Did you mean:,Did you mean:,¿Quiso decir:,¿Quiso decir:,relecture kreyòl
"Vous comparez des entités de tailles différentes — les valeurs brutes ne sont pas comparables telles quelles. Passez en {km2} ou en {part} pour une lecture juste, ou comparez des territoires de même niveau.","Vous comparez des entités de tailles différentes — les valeurs brutes ne sont pas comparables telles quelles. Passez en {km2} ou en {part} pour une lecture juste, ou comparez des territoires de même niveau.",,rendreComparaison() L936,comparaison,visible+aria+impression,phrase,phrase,km2 part,,,oui,oui,oui,,"W ap konpare antite ki pa gen menm gwosè — valè brit yo pa konparab konsa. Chanje pou {km2} oswa {part} pou yon lekti ki jis, oswa konpare teritwa ki nan menm nivo.","W ap konpare antite ki pa gen menm gwosè — valè brit yo pa konparab konsa. Chanje pou {km2} oswa {part} pou yon lekti ki jis, oswa konpare teritwa ki nan menm nivo.","You are comparing entities of different sizes — raw values are not comparable as they stand. Switch to {km2} or {part} for a fair reading, or compare territories at the same level.","You are comparing entities of different sizes — raw values are not comparable as they stand. Switch to {km2} or {part} for a fair reading, or compare territories at the same level.","Está comparando entidades de tamaños distintos — los valores brutos no son comparables tal cual. Cambie a {km2} o a {part} para una lectura justa, o compare territorios del mismo nivel.","Está comparando entidades de tamaños distintos — los valores brutos no son comparables tal cual. Cambie a {km2} o a {part} para una lectura justa, o compare territorios del mismo nivel.",relecture kreyòl
Vous disposez d'une source pour l'une de ces lignes ? {lien} — elle sera créditée au registre des sources.,Vous disposez d'une source pour l'une de ces lignes ? {lien} — elle sera créditée au registre des sources.,,blocLacunes() L596,fiche,visible+impression,phrase,phrase,lien,,,oui,,oui,,Ou gen yon sous pou youn nan liy sa yo ? {lien} — n ap mete non l nan rejis sous yo.,Ou gen yon sous pou youn nan liy sa yo ? {lien} — n ap mete non l nan rejis sous yo.,Do you have a source for one of these rows? {lien} — it will be credited in the source register.,Do you have a source for one of these rows? {lien} — it will be credited in the source register.,¿Dispone de una fuente para alguna de estas filas? {lien} — se acreditará en el registro de fuentes.,¿Dispone de una fuente para alguna de estas filas? {lien} — se acreditará en el registro de fuentes.,relecture kreyòl
Vue complète,Vue complète,,jour() L157,jour,visible,libelle,phrase,,,,oui,,,,Tout bagay,Tout bagay,Full view,Full view,Vista completa,Vista completa,relecture kreyòl
aucun thème,aucun thème,,synthese() L365,fiche,visible,libelle,phrase,,,,oui,,,,okenn tèm,okenn tèm,no theme,no theme,ningún tema,ningún tema,relecture kreyòl
autres communes du pays,autres communes du pays,,blocCarte() L494,carte,visible+aria,phrase,phrase,,,,oui,oui,,,lòt komin nan peyi a,lòt komin nan peyi a,other communes in the country,other communes in the country,otras comunas del país,otras comunas del país,relecture kreyòl
catalogue,catalogue,,charger() L1390,charger,visible,libelle,phrase,,,,oui,,,,katalòg la,katalòg la,catalogue,catalogue,catálogo,catálogo,relecture kreyòl
classement des {n} communes,classement des {n} communes,,blocComparer() L622,fiche,visible,phrase,phrase,n,,,oui,,,,klasman {n} komin yo,klasman {n} komin yo,ranking of the {n} communes,ranking of the {n} communes,ranking de las {n} comunas,ranking de las {n} comunas,relecture kreyòl
complétude {pct} %,complétude {pct} %,,blocResume() L405,fiche,visible+impression,phrase,phrase,pct,,,oui,,oui,,konplè {pct} %,konplè {pct} %,{pct} % complete,{pct} % complete,completitud {pct} %,completitud {pct} %,relecture kreyòl
disponible dans le Pack Géo,disponible dans le Pack Géo,,blocTechnique() L636,fiche,visible,phrase,phrase,,,,oui,,,,disponib nan Pack Géo a,disponib nan Pack Géo a,available in the Geo Pack,available in the Geo Pack,disponible en el Pack Geo,disponible en el Pack Geo,relecture kreyòl
données de {a} à {b},données de {a} à {b},,blocResume() L406,fiche,visible+impression,phrase,phrase,a b,,,oui,,oui,,done depi {a} rive {b},done depi {a} rive {b},data from {a} to {b},data from {a} to {b},datos de {a} a {b},datos de {a} a {b},relecture kreyòl
limites détaillées et polygones,limites détaillées et polygones,,blocCarte() L496,carte,visible+aria,phrase,phrase,,,,oui,oui,,,limit detaye ak polygòn,limit detaye ak polygòn,detailed boundaries and polygons,detailed boundaries and polygons,límites detallados y polígonos,límites detallados y polígonos,relecture kreyòl
millésimes différents,millésimes différents,,rendreComparaison() L954,comparaison,visible+aria+impression,libelle,phrase,,,,oui,oui,oui,,ane referans diferan,ane referans diferan,different reference years,different reference years,años de referencia distintos,años de referencia distintos,relecture kreyòl
mise à jour Atmart le {date},mise à jour Atmart le {date},,blocResume() L407,fiche,visible+impression,phrase,phrase,date,,,oui,,oui,,Atmart mete l ajou {date},Atmart mete l ajou {date},Atmart update on {date},Atmart update on {date},actualización de Atmart el {date},actualización de Atmart el {date},relecture kreyòl
moyenne non pondérée des {n} communes couvertes,moyenne non pondérée des {n} communes couvertes,,agreger() L762,agregat,visible+export,phrase,phrase,n,,,oui,,,oui,mwayèn senp sou {n} komin ki kouvri,mwayèn senp sou {n} komin ki kouvri,unweighted mean of the {n} covered communes,unweighted mean of the {n} covered communes,media no ponderada de las {n} comunas cubiertas,media no ponderada de las {n} comunas cubiertas,relecture kreyòl
méthodologie,méthodologie,,blocResume() L409,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,metodoloji,metodoloji,methodology,methodology,metodología,metodología,relecture kreyòl
non documenté,non documenté,,rendreComparaison() L959,comparaison,visible+aria+impression,libelle,phrase,,,,oui,oui,oui,,poko dokimante,poko dokimante,not documented,not documented,no documentado,no documentado,relecture kreyòl
non incluse dans l'édition publique,non incluse dans l'édition publique,,blocTechnique() L636,fiche,visible,phrase,phrase,,,,oui,,,,li pa nan vèsyon piblik la,li pa nan vèsyon piblik la,not included in the public edition,not included in the public edition,no incluida en la edición pública,no incluida en la edición pública,relecture kreyòl
parrainable,parrainable,,blocLacunes() L582,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,yon moun ka finanse l,yon moun ka finanse l,open to sponsorship,open to sponsorship,abierto a patrocinio,abierto a patrocinio,relecture kreyòl
qualité acceptable,qualité acceptable,,jour() L152,qualite,visible,vocabulaire,phrase,,,,oui,,,,kalite ki pase,kalite ki pase,acceptable quality,acceptable quality,calidad aceptable,calidad aceptable,relecture kreyòl
qualité limitée,qualité limitée,,jour() L152,qualite,visible,vocabulaire,phrase,,,,oui,,,,kalite ki fèb,kalite ki fèb,limited quality,limited quality,calidad limitada,calidad limitada,relecture kreyòl
qualité élevée,qualité élevée,,jour() L152,qualite,visible,vocabulaire,phrase,,,,oui,,,,bon jan kalite,bon jan kalite,high quality,high quality,calidad alta,calidad alta,relecture kreyòl
"recalculé sur les totaux, pas moyenné entre communes","recalculé sur les totaux, pas moyenné entre communes",,agreger() L758,agregat,visible+export,phrase,phrase,,,,oui,,,oui,"rekalkile sou total yo, se pa yon mwayèn ant komin","rekalkile sou total yo, se pa yon mwayèn ant komin","recalculated on the totals, not averaged across communes","recalculated on the totals, not averaged across communes","recalculado sobre los totales, no promediado entre comunas","recalculado sobre los totales, no promediado entre comunas",relecture kreyòl
recalculés sur les totaux,recalculés sur les totaux,,agregat() L800,agregat,visible+impression,phrase,phrase,,,,oui,,oui,,rekalkile sou total yo,rekalkile sou total yo,recalculated on the totals,recalculated on the totals,recalculados sobre los totales,recalculados sobre los totales,relecture kreyòl
relevée par Atmart le {date},relevée par Atmart le {date},,blocIndicateurs() L554,fiche,visible+impression,phrase,phrase,date,,,oui,,oui,,Atmart pran l {date},Atmart pran l {date},recorded by Atmart on {date},recorded by Atmart on {date},registrada por Atmart el {date},registrada por Atmart el {date},relecture kreyòl
ses {n} communes,ses {n} communes,sa commune,blocCarte() L479,carte,visible+aria,phrase,phrase,n,oui,,oui,oui,,,{n} komin li yo,komin li a,its {n} communes,its commune,sus {n} comunas,su comuna,relecture kreyòl
somme des communes couvertes,somme des communes couvertes,,agreger() L747,agregat,visible+export,phrase,phrase,,,,oui,,,oui,total komin ki kouvri yo,total komin ki kouvri yo,sum of the covered communes,sum of the covered communes,suma de las comunas cubiertas,suma de las comunas cubiertas,relecture kreyòl
somme sur {n} communes couvertes,somme sur {n} communes couvertes,somme sur {n} commune couverte,agreger() L751,agregat,visible+export,phrase,phrase,n,oui,,oui,,,oui,total sou {n} komin ki kouvri,total sou {n} komin ki kouvri,sum over {n} covered communes,sum over {n} covered commune,suma sobre {n} comunas cubiertas,suma sobre {n} comuna cubierta,relecture kreyòl
valeur officielle de l'entité,valeur officielle de l'entité,,agreger() L746,agregat,visible+export,phrase,phrase,,,,oui,,,oui,valè ofisyèl antite a,valè ofisyèl antite a,official value of the entity,official value of the entity,valor oficial de la entidad,valor oficial de la entidad,relecture kreyòl
"{dep} départements, {arr} arrondissements et {com} communes","{dep} départements, {arr} arrondissements et {com} communes",,pret() L1149,chrome,visible,phrase,phrase,dep arr com,,,oui,,,,"{dep} depatman, {arr} awondisman ak {com} komin","{dep} depatman, {arr} awondisman ak {com} komin","{dep} departments, {arr} arrondissements and {com} communes","{dep} departments, {arr} arrondissements and {com} communes","{dep} departamentos, {arr} distritos y {com} comunas","{dep} departamentos, {arr} distritos y {com} comunas",relecture kreyòl
{niveau} du département {dep_de},{niveau} du département {dep_de},,situe() L340,fiche,visible,phrase,phrase,niveau dep_de,,oui,oui,,,,{niveau} nan depatman {dep},{niveau} nan depatman {dep},{niveau} in {dep} department,{niveau} in {dep} department,{niveau} del departamento de {dep},{niveau} del departamento de {dep},relecture kreyòl
